Site ID,M36/0473
Site Name,M36/0473
Site ID,SampleID,Collection Date,Measurement,Value,Units
"M36/0473","20185931","07-Nov 2018 09:05am","Oxidation Reduction Potential","221.800","mV"
"M36/0473","20185931","07-Nov 2018 09:05am","pH","7.8",""
"M36/0473","20185931","07-Nov 2018 09:05am","pH (Field)","7.80",""
"M36/0473","20185931","07-Nov 2018 09:05am","Potassium, Dissolved","0.950","mg/L"
"M36/0473","20185931","07-Nov 2018 09:05am","Silica, Reactive","19.800","mg/L  as SiO2"
"M36/0473","20185931","07-Nov 2018 09:05am","Sodium, Dissolved","8.600","mg/L"
"M36/0473","20185931","07-Nov 2018 09:05am","Sulphate","2.600","mg/L"
"M36/0473","20185931","07-Nov 2018 09:05am","Sum of anions","1.310","meq/L"
"M36/0473","20185931","07-Nov 2018 09:05am","Sum of cations","1.320","meq/L"
"M36/0473","20185931","07-Nov 2018 09:05am","Total Coliforms","<1.00","number/100mL"
"M36/0473","20185931","07-Nov 2018 09:05am","Water Temperature (Field)","12.7","C"
"M36/0473","187481503","09-Nov 2017 09:30am","Alkalinity, Total","52.0","g/m3 as CaCO3"
"M36/0473","187481503","09-Nov 2017 09:30am","Ammoniacal Nitrogen","<0.010","mg/L"
"M36/0473","187481503","09-Nov 2017 09:30am","Bicarbonate","63.000","mg/L  at 25°C"
"M36/0473","187481503","09-Nov 2017 09:30am","Boron, Dissolved","0.022","mg/L"
"M36/0473","187481503","09-Nov 2017 09:30am","Bromide","<0.050","g/m3"
"M36/0473","187481503","09-Nov 2017 09:30am","Calcium, Dissolved","11.900","mg/L"
"M36/0473","187481503","09-Nov 2017 09:30am","Chloride","5.700","mg/L"
"M36/0473","187481503","09-Nov 2017 09:30am","Conductivity","13.0","mS/m"
"M36/0473","187481503","09-Nov 2017 09:30am","Conductivity (Field)","13.07","mS/m"
"M36/0473","187481503","09-Nov 2017 09:30am","Difference in Ion Balance","0.280","%"
"M36/0473","187481503","09-Nov 2017 09:30am","Dissolved Oxygen","4.830","mg/L"
"M36/0473","187481503","09-Nov 2017 09:30am","Dissolved Oxygen Saturation","47.600","%"
"M36/0473","187481503","09-Nov 2017 09:30am","Dissolved Reactive Phosphorus","0.0123","mg/L"
"M36/0473","187481503","09-Nov 2017 09:30am","E. coli","<1","MPN/100mL"
"M36/0473","187481503","09-Nov 2017 09:30am","Hardness, Total","45.000","g/m3 as CaCO3"
"M36/0473","187481503","09-Nov 2017 09:30am","Iron, Dissolved","<0.020","mg/L"
"M36/0473","187481503","09-Nov 2017 09:30am","Magnesium, Dissolved","3.600","mg/L"
"M36/0473","187481503","09-Nov 2017 09:30am","Manganese, Dissolved","<0.0005","mg/L"
"M36/0473","187481503","09-Nov 2017 09:30am","Nitrate Nitrogen","0.600","mg/L"
"M36/0473","187481503","09-Nov 2017 09:30am","Oxidation Reduction Potential","105.300","mV"
"M36/0473","187481503","09-Nov 2017 09:30am","pH","7.8",""
"M36/0473","187481503","09-Nov 2017 09:30am","pH (Field)","7.43",""
"M36/0473","187481503","09-Nov 2017 09:30am","Potassium, Dissolved","1.000","mg/L"
"M36/0473","187481503","09-Nov 2017 09:30am","Silica, Reactive","21.000","mg/L  as SiO2"
"M36/0473","187481503","09-Nov 2017 09:30am","Sodium, Dissolved","8.900","mg/L"
"M36/0473","187481503","09-Nov 2017 09:30am","Sulphate","3.200","mg/L"
"M36/0473","187481503","09-Nov 2017 09:30am","Sum of anions","1.310","meq/L"
"M36/0473","187481503","09-Nov 2017 09:30am","Sum of cations","1.300","meq/L"
"M36/0473","187481503","09-Nov 2017 09:30am","Total Coliforms","<1.00","number/100mL"
"M36/0473","187481503","09-Nov 2017 09:30am","Water Temperature (Field)","14.5","C"
"M36/0473","167331609","01-Nov 2016 13:30pm","Alkalinity, Total","52.0","g/m3 as CaCO3"
"M36/0473","167331609","01-Nov 2016 13:30pm","Ammoniacal Nitrogen","<0.010","mg/L"
"M36/0473","167331609","01-Nov 2016 13:30pm","Bicarbonate","63.000","mg/L  at 25°C"
"M36/0473","167331609","01-Nov 2016 13:30pm","Calcium, Dissolved","12.200","mg/L"
"M36/0473","167331609","01-Nov 2016 13:30pm","Chloride","6.100","mg/L"
"M36/0473","167331609","01-Nov 2016 13:30pm","Conductivity","12.9","mS/m"
"M36/0473","167331609","01-Nov 2016 13:30pm","Conductivity (Field)","12.60","mS/m"
"M36/0473","167331609","01-Nov 2016 13:30pm","Difference in Ion Balance","0.330","%"
"M36/0473","167331609","01-Nov 2016 13:30pm","Dissolved Oxygen","4.100","mg/L"
"M36/0473","167331609","01-Nov 2016 13:30pm","Dissolved Oxygen Saturation","40.100","%"
"M36/0473","167331609","01-Nov 2016 13:30pm","Dissolved Reactive Phosphorus","0.0136","mg/L"
"M36/0473","167331609","01-Nov 2016 13:30pm","E. coli","<1","MPN/100mL"
"M36/0473","167331609","01-Nov 2016 13:30pm","Hardness, Total","46.000","g/m3 as CaCO3"
"M36/0473","167331609","01-Nov 2016 13:30pm","Iron, Dissolved","<0.020","mg/L"
"M36/0473","167331609","01-Nov 2016 13:30pm","Magnesium, Dissolved","3.700","mg/L"
